timestamp,open,high,low,close
1502668800000,4261.48,4485.39,3850.0,4086.29
1503273600000,4069.13,4453.91,3400.0,4310.01
1503878400000,4310.01,4939.19,4124.54,4509.08
1504483200000,4505.0,4788.59,3603.0,4130.37
1505088000000,4153.62,4394.59,2817.0,3699.99
1505692800000,3690.0,4123.2,3505.55,3660.02
1506297600000,3660.02,4406.52,3653.69,4378.48
1506902400000,4400.0,4658.0,4110.0,4640.0
1507507200000,4640.0,5922.3,4550.0,5709.99
1508112000000,5710.0,6171.0,5037.95,5950.02
1508716800000,5975.0,6189.88,5286.98,6169.98
1509321600000,6133.01,7590.25,6030.0,7345.01
1509926400000,7345.1,7770.02,5325.01,5811.03
1510531200000,5839.94,8123.15,5699.99,8038.0
1511136000000,8057.11,9350.0,7801.0,9128.02
1511740800000,9128.0,11825.0,8520.0,11165.41
1512345600000,11165.41,17204.99,10802.0,14899.98
1512950400000,14946.26,19798.68,14666.56,18860.02
1513555200000,18860.04,19300.0,10961.0,13500.0
1514160000000,13500.0,16498.05,11750.0,13716.36
1514764800000,13715.65,17176.24,12750.0,16150.03
1515369600000,16218.85,16322.3,11400.0,13474.99
1515974400000,13477.98,14249.99,9035.0,11530.0
1516579200000,11530.0,12244.0,9900.24,11879.95
1517184000000,11879.95,11975.02,7930.0,8184.81
1517788800000,8179.99,9065.78,6000.01,8063.88
1518393600000,8063.82,11274.0,8053.0,10383.43
1518998400000,10375.01,11786.01,9274.8,9590.0
1519603200000,9590.0,11565.0,9350.0,11515.0
1520208000000,11515.0,11710.0,8329.0,9533.57
1520812800000,9533.57,9888.88,7322.0,8189.99
1521417600000,8189.0,9177.01,8088.4,8470.15
1522022400000,8470.14,8514.89,6430.0,6813.01
1522627200000,6813.01,7520.0,6500.0,7018.0
1523232000000,7011.04,8429.54,6611.0,8355.0
1523836800000,8355.07,9035.0,7825.4,8787.02
1524441600000,8785.7,9759.82,8651.62,9419.0
1525046400000,9417.04,10020.0,8800.49,9659.01
1525651200000,9661.02,9689.67,8153.0,8679.71
1526256000000,8679.71,8879.99,7911.9,8526.98
1526860800000,8526.97,8595.31,7231.11,7338.99
1527465600000,7338.99,7786.69,7032.95,7714.26
1528070400000,7714.26,7765.0,6622.81,6764.99
1528675200000,6765.0,6922.0,6118.68,6449.61
1529280000000,6444.06,6841.74,5750.0,6136.97
1529884800000,6137.95,6528.99,5780.0,6356.81
1530489600000,6360.82,6818.16,6271.62,6712.1
1531094400000,6712.1,6802.06,6070.0,6353.01
1531699200000,6354.15,7700.0,6330.4,7394.79
1532304000000,7394.78,8491.77,7375.0,8211.0
1532908800000,8210.99,8273.0,6882.29,7024.19
1533513600000,7024.19,7160.0,5971.0,6308.33
1534118400000,6308.56,6620.0,5880.0,6477.53
1534723200000,6477.53,6882.54,6220.0,6700.0
1535328000000,6700.0,7345.45,6646.5,7302.01
1535932800000,7302.0,7410.0,6111.0,6250.81
1536537600000,6252.26,6584.99,6169.68,6505.0
1537142400000,6500.08,6839.03,6123.0,6708.0
1537747200000,6706.81,6814.8,6325.02,6626.57
1538352000000,6626.57,6697.0,6430.0,6615.26
1538956800000,6615.26,6715.6,6205.0,6339.34
1539561600000,6339.34,7680.0,6300.0,6590.11
1540166400000,6590.12,6639.0,6453.0,6489.93
1540771200000,6489.93,6525.0,6245.02,6485.85
1541376000000,6485.85,6615.15,6355.0,6449.81
1541980800000,6450.71,6498.0,5403.42,5662.0
1542585600000,5661.94,5664.0,3652.66,4085.78
1543190400000,4088.69,4450.38,3689.12,4161.01
1543795200000,4160.55,4179.0,3222.0,3545.37
1544400000000,3548.49,3610.0,3156.26,3228.67
1545004800000,3229.22,4139.99,3216.0,3929.71
1545609600000,3929.71,4198.0,3535.0,3801.91
1546214400000,3803.12,4027.71,3630.33,3987.6
1546819200000,3987.62,4069.8,3441.3,3476.81
1547424000000,3477.56,3720.0,3467.02,3539.28
1548028800000,3539.26,3662.94,3434.85,3550.84
1548633600000,3550.05,3557.75,3349.92,3458.11
1549238400000,3458.11,3733.58,3373.1,3680.06
1549843200000,3679.75,3700.11,3568.11,3667.58
1550448000000,3667.62,4198.0,3655.0,3743.56
1551052800000,3743.56,3888.0,3677.17,3807.75
1551657600000,3807.32,3971.75,3670.69,3916.82
1552262400000,3915.99,4056.98,3810.43,3981.14
1552867200000,3981.85,4069.32,3880.01,3992.18
1553472000000,3991.35,4140.0,3888.71,4103.95
1554076800000,4102.44,5275.01,4067.0,5170.27
1554681600000,5170.27,5422.0,4861.22,5131.3
1555286400000,5131.28,5333.42,4950.0,5256.14
1555891200000,5257.41,5600.0,5102.0,5307.52
1556496000000,5309.81,5900.0,5178.8,5775.62
1557100800000,5773.18,7521.78,5619.14,6967.31
1557705600000,6968.24,8366.0,6870.0,8148.48
1558310400000,8147.94,8740.0,7461.0,8614.43
