timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1684886400000,27219.61,27219.61,27217.03,27217.04,19.26758,1684886459999.0,524438.0069661,406.0,3.28071,89295.3547977,0.0
1684886460000,27217.04,27217.04,27217.03,27217.03,4.223,1684886519999.0,114937.5386586,298.0,2.09686,57070.3224944,0.0
1684886520000,27217.03,27217.04,27214.75,27214.75,16.53463,1684886579999.0,450008.4762272,376.0,7.20649,196129.712696,0.0
1684886580000,27214.76,27214.76,27214.75,27214.75,12.82107,1684886639999.0,348922.3017229,296.0,8.69404,236606.2120304,0.0
1684886640000,27214.75,27214.76,27207.04,27207.04,21.02346,1684886699999.0,572071.2688501,685.0,2.04417,55621.8537317,0.0
1684886700000,27207.04,27207.05,27200.54,27200.54,8.72366,1684886759999.0,237321.8567431,558.0,2.90953,79147.7217172,0.0
1684886760000,27200.54,27204.72,27200.54,27204.72,6.68804,1684886819999.0,181930.8028644,386.0,4.58288,124664.9852914,0.0
1684886820000,27204.72,27204.72,27199.26,27202.66,15.41607,1684886879999.0,419326.1092343,453.0,8.64684,235189.7738624,0.0
1684886880000,27202.66,27214.63,27202.65,27214.62,9.98096,1684886939999.0,271581.4307781,398.0,8.92724,242908.5073695,0.0
1684886940000,27214.62,27214.63,27214.6,27214.6,6.95097,1684886999999.0,189168.0152802,227.0,3.62702,98708.0039634,0.0
1684887000000,27214.61,27217.2,27214.6,27217.19,5.36879,1684887059999.0,146115.6967117,273.0,4.62996,126007.7207411,0.0
1684887060000,27217.19,27218.98,27217.19,27218.97,7.37102,1684887119999.0,200621.4855265,333.0,6.50831,177140.8368456,0.0
1684887120000,27218.97,27218.98,27218.97,27218.97,2.26057,1684887179999.0,61530.3975888,223.0,1.05759,28786.5210582,0.0
1684887180000,27218.98,27218.98,27210.4,27210.41,21.72705,1684887239999.0,591295.7135117,420.0,7.30292,198723.4136416,0.0
1684887240000,27210.4,27210.41,27201.22,27202.91,8.79466,1684887299999.0,239252.970186,434.0,5.04191,137155.3240759,0.0
1684887300000,27202.92,27202.92,27184.74,27184.74,18.26137,1684887359999.0,496562.0506226,861.0,1.57415,42805.4453742,0.0
1684887360000,27184.74,27193.52,27184.74,27193.52,9.36552,1684887419999.0,254637.9687296,403.0,6.52292,177344.1004712,0.0
1684887420000,27193.52,27193.52,27191.06,27191.07,2.88016,1684887479999.0,78318.1540614,293.0,1.13086,30750.6881621,0.0
1684887480000,27191.07,27191.07,27190.02,27190.03,4.54129,1684887539999.0,123479.8381068,293.0,1.13164,30769.7005765,0.0
1684887540000,27190.03,27190.38,27182.98,27190.38,24.83335,1684887599999.0,675172.1244365,487.0,13.90282,377985.0906867,0.0
1684887600000,27190.37,27203.94,27190.37,27203.94,23.563,1684887659999.0,640877.1162885,534.0,22.28418,606091.5835584,0.0
1684887660000,27203.94,27203.94,27195.58,27195.58,22.99739,1684887719999.0,625488.3722447,514.0,5.16741,140542.1054426,0.0
1684887720000,27195.58,27198.75,27195.58,27197.93,9.23959,1684887779999.0,251290.7859875,378.0,5.96075,162111.8391796,0.0
1684887780000,27197.93,27197.93,27196.85,27196.9,11.84919,1684887839999.0,322268.17096,307.0,1.67089,45443.3104175,0.0
1684887840000,27196.89,27202.66,27196.89,27202.66,6.78809,1684887899999.0,184632.1734393,401.0,5.53128,150448.8544214,0.0
